Theme,Ticker,Type,Primary ETF Benchmark,Cumulative Return,Ann. Return,Ann. Volatility,Sharpe Ratio,Max Drawdown,VaR 95% €,CVaR 95% €,Observations
Semiconductors / Edge AI,Orion,Fictional Candidate,SMH,19.759639743406876,0.5500018646690992,0.5657806476573702,0.9190874004301501,-0.6275773758891166,288.8257654800427,411.6287264051311,1744
Smart Grid / Energy Storage,Cleanergy,Fictional Candidate,GRID,0.8627854045407177,0.07427543609343101,0.4597023564782334,0.09631326763826896,-0.9304430827236404,241.73969336157833,279.2374280648178,2188
Precision Agriculture / AgTech,NovaTerra,Fictional Candidate,MOO,0.04129005563281751,0.0029024462623841174,0.3180262168661076,-0.08520540854977449,-0.8748377939331302,164.63867447840144,205.95745062884984,3518
Semiconductors / Edge AI,SMH,ETF Alternative,SMH,7.241594821039415,0.37292713303468794,0.35756425198134756,0.9590643671296782,-0.4530263611076928,174.78693057308212,253.79830237180107,1677
Smart Grid / Energy Storage,GRID,ETF Alternative,GRID,2.966414275987632,0.23004296881375663,0.24334725309533362,0.8220473675755358,-0.4056159478332274,112.33288713787537,172.87570238429925,1677
Precision Agriculture / AgTech,MOO,ETF Alternative,MOO,0.5050342267848693,0.06335823471433244,0.20134521960143745,0.16567681507594278,-0.39515352727078235,87.61197981081692,146.51910759681095,1677
Semiconductors / Edge AI,CRUS,Stock Alternative,SMH,2.5167235096029876,0.20800096837063387,0.4121210894286471,0.4319142430138902,-0.46852907538170563,185.93837624737108,287.9368059011884,1677
Smart Grid / Energy Storage,ITRI,Stock Alternative,GRID,0.5979094736135151,0.0729696709589045,0.4745400054400782,0.09055015481583129,-0.6526473130782446,202.9224430184241,340.2363799447276,1677
Precision Agriculture / AgTech,TRMB,Stock Alternative,MOO,0.5377879151449629,0.06680395635657099,0.36488118901309335,0.10086558985437401,-0.5735478565163717,158.58991490659966,265.5252031332351,1677
Precision Agriculture / AgTech,AGCO,Stock Alternative,MOO,1.1964478036694812,0.12551122114882185,0.3876712559495256,0.24637168653344088,-0.5407033512746284,179.14285892716504,275.39304746988637,1677
