,Orion,Cleanergy,NovaTerra,ASML,NOVO-B,PVH,XLU,GLD,SMH,GRID,MOO
Orion,1.0,-0.02466306124098158,0.06528172275634413,0.5357089727902722,0.10604601485474098,0.487358587690805,0.3641397657994077,0.14586793142242135,0.9633316052464351,0.7716028359790035,0.6119825535364006
Cleanergy,-0.02466306124098158,1.0,0.019513455769757767,-0.022472924253169945,0.004843743482651271,-0.008324839427130299,-0.030333194191096858,-0.0051900107115776285,-0.02255092000086057,-0.004649619494727785,-0.004645853003580465
NovaTerra,0.06528172275634413,0.019513455769757767,1.0,0.037532535490979894,0.05057405527240679,0.08669115935299483,0.03131365497546515,0.019436149028739223,0.060886837069299184,0.09160678822468227,0.08237856638230481
ASML,0.5357089727902722,-0.022472924253169945,0.037532535490979894,1.0,0.2295430509795991,0.2773009160413438,0.13023262607779948,0.08607065625813987,0.5662402251374805,0.4918830838647132,0.355589778219652
NOVO-B,0.10604601485474098,0.004843743482651271,0.05057405527240679,0.2295430509795991,1.0,-0.007556533325910252,0.07150037527678381,0.02168609817176787,0.11186609672644977,0.141098817620874,0.1112708462911169
PVH,0.487358587690805,-0.008324839427130299,0.08669115935299483,0.2773009160413438,-0.007556533325910252,1.0,0.3462511812214819,0.01813209655325214,0.48154847829886305,0.6149437930081821,0.582634278196605
XLU,0.3641397657994077,-0.030333194191096858,0.03131365497546515,0.13023262607779948,0.07150037527678381,0.3462511812214819,1.0,0.21757822965841156,0.35054135289382843,0.5481421099017602,0.5702292481734146
GLD,0.14586793142242135,-0.0051900107115776285,0.019436149028739223,0.08607065625813987,0.02168609817176787,0.01813209655325214,0.21757822965841156,1.0,0.15151127267261175,0.18850677929197507,0.18614805638139664
SMH,0.9633316052464351,-0.02255092000086057,0.060886837069299184,0.5662402251374805,0.11186609672644977,0.48154847829886305,0.35054135289382843,0.15151127267261175,1.0,0.7913128199281187,0.6128500569781783
GRID,0.7716028359790035,-0.004649619494727785,0.09160678822468227,0.4918830838647132,0.141098817620874,0.6149437930081821,0.5481421099017602,0.18850677929197507,0.7913128199281187,1.0,0.8000463072955235
MOO,0.6119825535364006,-0.004645853003580465,0.08237856638230481,0.355589778219652,0.1112708462911169,0.582634278196605,0.5702292481734146,0.18614805638139664,0.6128500569781783,0.8000463072955235,1.0
