,Orion,Cleanergy,NovaTerra,ASML,NOVO-B,PVH,XLU,GLD,SMH,GRID,MOO
Orion,1.0,-0.025,0.065,0.536,0.106,0.487,0.364,0.146,0.963,0.772,0.612
Cleanergy,-0.025,1.0,0.02,-0.022,0.005,-0.008,-0.03,-0.005,-0.023,-0.005,-0.005
NovaTerra,0.065,0.02,1.0,0.038,0.051,0.087,0.031,0.019,0.061,0.092,0.082
ASML,0.536,-0.022,0.038,1.0,0.23,0.277,0.13,0.086,0.566,0.492,0.356
NOVO-B,0.106,0.005,0.051,0.23,1.0,-0.008,0.072,0.022,0.112,0.141,0.111
PVH,0.487,-0.008,0.087,0.277,-0.008,1.0,0.346,0.018,0.482,0.615,0.583
XLU,0.364,-0.03,0.031,0.13,0.072,0.346,1.0,0.218,0.351,0.548,0.57
GLD,0.146,-0.005,0.019,0.086,0.022,0.018,0.218,1.0,0.152,0.189,0.186
SMH,0.963,-0.023,0.061,0.566,0.112,0.482,0.351,0.152,1.0,0.791,0.613
GRID,0.772,-0.005,0.092,0.492,0.141,0.615,0.548,0.189,0.791,1.0,0.8
MOO,0.612,-0.005,0.082,0.356,0.111,0.583,0.57,0.186,0.613,0.8,1.0
