,Current Portfolio,Add Orion,Add Cleanergy,Add NovaTerra,Add SMH,Add GRID,Add MOO
Orion,0.0,0.125,0.0,0.0,0.0,0.0,0.0
Cleanergy,0.0,0.0,0.125,0.0,0.0,0.0,0.0
NovaTerra,0.0,0.0,0.0,0.125,0.0,0.0,0.0
ASML,0.1429,0.125,0.125,0.125,0.125,0.125,0.125
NOVO-B,0.1429,0.125,0.125,0.125,0.125,0.125,0.125
PVH,0.2143,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
XLU,0.2143,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
GLD,0.2857,0.25,0.25,0.25,0.25,0.25,0.25
SMH,0.0,0.0,0.0,0.0,0.125,0.0,0.0
GRID,0.0,0.0,0.0,0.0,0.0,0.125,0.0
MOO,0.0,0.0,0.0,0.0,0.0,0.0,0.125
